img,qf_1,qf_2
r198ae140t.jpg,65,100
r1b177fe1t.jpg,50,75
r06888d38t.jpg,55,85
r0200a7a6t.jpg,80,95
r08079988t.jpg,85,55
r05ac4560t.jpg,70,60
r1d16ad1et.jpg,85,60
r0b61ed37t.jpg,70,55
r026cedb7t.jpg,95,100
r1e14f45ct.jpg,55,80
r00679daet.jpg,55,55
r165355c0t.jpg,70,70
r1a0968bft.jpg,50,90
r1301676dt.jpg,60,95
r113402d4t.jpg,95,85
r08276bf9t.jpg,70,70
r1a11b3c0t.jpg,85,90
r1ead3024t.jpg,50,80
r1c4ae120t.jpg,80,65
r04aceb4et.jpg,55,50
r1ea8ccbbt.jpg,65,70
r1be2a3d5t.jpg,75,55
r12ed2816t.jpg,55,75
r08788547t.jpg,75,65
r0dd60980t.jpg,90,100
r0fe7b1c6t.jpg,50,70
r1bfbaab3t.jpg,50,50
r01058910t.jpg,75,95
r0fae3dbdt.jpg,80,75
r1ca2ef38t.jpg,50,55
r0eba1984t.jpg,90,65
r072649fdt.jpg,85,80
r07f22efdt.jpg,65,55
r1322c4d6t.jpg,65,80
r0eb9e900t.jpg,70,85
r08996953t.jpg,65,70
r041c02cat.jpg,65,85
r0eb07be3t.jpg,80,80
r1bc4e4act.jpg,70,60
r1eff17eft.jpg,90,90
r026b5360t.jpg,50,50
r0603031et.jpg,55,70
r03d2a758t.jpg,90,80
r08df6903t.jpg,85,95
r0141f0c9t.jpg,75,95
r1b6c1adbt.jpg,80,60
r1bf4e594t.jpg,55,95
r18d866e1t.jpg,95,55
r1d93553ct.jpg,70,50
r048c50d0t.jpg,95,60
r12f3bbfat.jpg,70,60
r0e1a6e2ft.jpg,65,50
r0eedd456t.jpg,50,60
r184f08dat.jpg,100,65
r01474187t.jpg,90,75
r08cbbab9t.jpg,65,75
r1904147dt.jpg,85,55
r02354285t.jpg,85,55
r04989a70t.jpg,100,70
r1b790721t.jpg,100,55
r1c6377bat.jpg,80,90
r0ab7202ft.jpg,50,85
r06bfc92at.jpg,85,50
r0ed019a4t.jpg,65,95
r0fa077bet.jpg,85,55
r0a19cb85t.jpg,85,95
r0a9384b1t.jpg,85,80
r0d280006t.jpg,55,75
r04cfa379t.jpg,80,55
r15919202t.jpg,95,50
r02b3a1ddt.jpg,95,90
r19fe3107t.jpg,95,90
r116ce066t.jpg,80,100
r09c8e042t.jpg,50,70
r1580c37ft.jpg,100,65
r027a692ft.jpg,85,50
r021429abt.jpg,60,50
r08abaa78t.jpg,70,95
r0284aa1at.jpg,95,55
r0527f7e6t.jpg,60,50
r098a8a22t.jpg,90,65
r1dc4077at.jpg,95,80
r13bb381ct.jpg,70,55
r04317453t.jpg,55,65
r0518cf5dt.jpg,75,75
r18e0516bt.jpg,75,85
r0e965ba7t.jpg,70,60
r175da907t.jpg,65,55
r0a0852c6t.jpg,70,100
r018e74fet.jpg,100,65
r09d50960t.jpg,100,55
r1ae12b3ft.jpg,65,75
r1c83ec1dt.jpg,100,100
r10ab8058t.jpg,100,95
r1218b33at.jpg,100,100
r1ad3fa6dt.jpg,50,85
r056daad2t.jpg,50,95
r1ec70fd3t.jpg,75,90
r1915909et.jpg,90,80
r0b76b82ft.jpg,75,50
r1d9eaf70t.jpg,70,70
r0250eb80t.jpg,100,75
r056c0ee6t.jpg,75,80
r1e8acc5ct.jpg,75,65
r13a16a0at.jpg,55,60
r15dcfacct.jpg,95,95
r0db6cc31t.jpg,70,80
r09245347t.jpg,90,70
r191488c6t.jpg,75,70
r135df877t.jpg,75,80
r0c8f3ce5t.jpg,90,85
r1cad9823t.jpg,65,90
r104153eat.jpg,50,95
r1ceba29dt.jpg,95,50
r17f60607t.jpg,90,90
r0f3f14cbt.jpg,95,75
r12cf98bet.jpg,100,55
r1c56a2bct.jpg,85,50
r1a7e4791t.jpg,85,85
r1ca254b2t.jpg,65,65
r1de108dft.jpg,100,60
r1a170ddbt.jpg,70,85
r14902ba4t.jpg,50,70
r06b161adt.jpg,60,85
r0b591bc3t.jpg,50,70
r165fbf4ft.jpg,100,70
r0b50b69ct.jpg,75,80
r11e26097t.jpg,50,75
r18fafe10t.jpg,50,70
r052e9174t.jpg,50,100
r1dea56e5t.jpg,80,75
r1f5ad4e0t.jpg,85,60
r182ed662t.jpg,60,80
r1824034et.jpg,65,50
r05839451t.jpg,75,85
r0648cff8t.jpg,65,75
r02d732f8t.jpg,50,95
r15885978t.jpg,65,85
r02f5c155t.jpg,95,80
r13b5b161t.jpg,75,90
r1a9acd94t.jpg,55,85
r1011a436t.jpg,90,100
r0c0d0adct.jpg,55,95
r05772356t.jpg,55,80
r0adac68bt.jpg,65,60
r141669e5t.jpg,75,55
r0b17fd57t.jpg,100,85
r180bcbd7t.jpg,65,100
r1f4f8a51t.jpg,100,100
r1c99500bt.jpg,50,65
r12d4cabat.jpg,100,80
r1461e2d7t.jpg,50,95
r14289905t.jpg,50,100
r06aa7dabt.jpg,90,70
r049f471dt.jpg,75,95
r083ca67ct.jpg,85,70
r1b9e9917t.jpg,70,90
r0f5475b5t.jpg,90,85
r0ebdd2d2t.jpg,55,65
r0b42926ct.jpg,90,100
r1882b6e6t.jpg,65,75
r1e9ae164t.jpg,70,80
r0dd7b354t.jpg,75,75
r0a8e5f8at.jpg,90,90
r150058a4t.jpg,90,85
r08873591t.jpg,55,100
r089cae91t.jpg,90,95
r09445479t.jpg,65,80
r1e69b067t.jpg,50,70
r1ef8b85ft.jpg,55,90
r13f26c35t.jpg,80,65
r1df374c1t.jpg,60,100
r03389e9bt.jpg,80,55
r163317d6t.jpg,100,75
r0a18e454t.jpg,70,95
r1ca6cc12t.jpg,90,95
r1594b4b3t.jpg,60,70
r1b547547t.jpg,75,90
r097555c4t.jpg,65,100
r15d1c836t.jpg,50,70
r066ef803t.jpg,80,90
r02508493t.jpg,60,65
r03995a8ct.jpg,55,60
r062cab38t.jpg,95,75
r05d9d749t.jpg,80,60
r1f4a44a7t.jpg,55,90
r08d9a0cet.jpg,50,65
r19ba7288t.jpg,60,75
r085bdbe2t.jpg,95,55
r08b12799t.jpg,80,95
r125f6e84t.jpg,95,80
r1c31a90bt.jpg,60,55
r0708431at.jpg,75,100
r125442fat.jpg,75,85
r15499cd8t.jpg,65,75
r1da851e4t.jpg,100,60
r0f1a3f00t.jpg,55,60
r0db011b4t.jpg,60,80
r04160d64t.jpg,80,70
r12e170d4t.jpg,60,65
r1b262b72t.jpg,55,100
r0589558at.jpg,55,100
r18791531t.jpg,95,55
r1655a008t.jpg,90,95
r0314c3f9t.jpg,70,75
r1c717a46t.jpg,65,100
r144f25eet.jpg,100,100
r0f6d3b31t.jpg,50,80
r1a91c337t.jpg,75,80
r08414c5at.jpg,60,65
r1aef663et.jpg,85,75
r132d538et.jpg,75,95
r0cc5a33ct.jpg,50,65
r1639a65ct.jpg,100,90
r0ebb5ca2t.jpg,85,50
r0ae68527t.jpg,80,55
r0cea5432t.jpg,75,70
r173ee7e8t.jpg,95,50
r047aa954t.jpg,70,90
r0b7b1156t.jpg,75,85
r05a7750et.jpg,80,55
r1e367d35t.jpg,50,70
r040b3002t.jpg,65,100
r16ea6386t.jpg,60,95
r0c2fb2a1t.jpg,70,65
r19c9183at.jpg,60,50
r14c2d3fct.jpg,90,75
r0ebb0bb4t.jpg,65,50
r08c76321t.jpg,65,80
r142b504bt.jpg,100,100
r05f66e6dt.jpg,85,70
r05d59d7ct.jpg,75,80
r1b165d45t.jpg,90,85
r18ea00c8t.jpg,80,70
r03cef811t.jpg,65,70
r12638c95t.jpg,65,50
r1d47bfc2t.jpg,50,50
r192ae577t.jpg,60,75
r012d1dbet.jpg,80,70
r05bf2f53t.jpg,95,50
r0ac70243t.jpg,85,60
r1d679eaet.jpg,55,90
r110cc74ct.jpg,95,95
r1bc355f2t.jpg,55,90
r0149a21ct.jpg,75,90
r061db45ft.jpg,90,55
r0e63dd12t.jpg,100,90
r1ddc0c98t.jpg,55,85
r1aa7459at.jpg,50,95
r0eb8dfb5t.jpg,65,55
r19b49f2ct.jpg,100,100
r138ad247t.jpg,80,50
r0fc39b66t.jpg,90,75
r197770adt.jpg,100,70
r0faffef3t.jpg,95,80
r169a9b07t.jpg,85,55
r10944b31t.jpg,85,90
r1104e9e6t.jpg,55,75
r19924edft.jpg,95,55
r02059ab4t.jpg,55,65
r0c9e4ff8t.jpg,95,50
r0bc87c20t.jpg,55,90
r0f137652t.jpg,100,75
r0f2c63d2t.jpg,60,70
r1ad2de34t.jpg,50,75
r11850456t.jpg,95,55
r1ad9cd64t.jpg,70,95
r02189767t.jpg,60,50
r0207a52ct.jpg,55,55
r09a60f63t.jpg,50,80
r084a4ccet.jpg,90,60
r1743fb6bt.jpg,80,90
r1ee65904t.jpg,100,70
r18393aeet.jpg,100,55
r0b755540t.jpg,100,100
r1aa4cc99t.jpg,100,50
r18d1abact.jpg,100,90
r0fef53bft.jpg,60,55
r1bca2388t.jpg,100,95
r163967d4t.jpg,100,100
r0c32591dt.jpg,65,70
r039a851bt.jpg,75,80
r1a845144t.jpg,95,75
r04e818bat.jpg,55,100
r1468a9e1t.jpg,50,90
r19835fbft.jpg,55,50
r029afdb0t.jpg,90,95
r1c1e3ec9t.jpg,80,80
r1934e29ft.jpg,50,75
r1069cdabt.jpg,80,60
r01cbb7fdt.jpg,55,80
r169c7350t.jpg,80,90
r09b86185t.jpg,55,85
r01d0b83bt.jpg,85,55
r137f062ft.jpg,50,80
r13b45303t.jpg,75,55
r0e593c46t.jpg,95,100
r13c7e92dt.jpg,95,65
r05718fd6t.jpg,80,75
r1bddecd6t.jpg,75,100
r0f2e6baft.jpg,95,50
r0c925d34t.jpg,95,80
r0b4d8af5t.jpg,70,70
r11865f77t.jpg,75,75
r0c795771t.jpg,90,85
r056d6bebt.jpg,70,85
r0897d8aat.jpg,95,60
r1683028at.jpg,100,90
r1a28d44bt.jpg,90,80
r140f3432t.jpg,90,85
r05647b9at.jpg,60,50
r1e56884ft.jpg,50,90
r1b61c7b1t.jpg,60,65
r06a52b7bt.jpg,55,70
r0f38373ct.jpg,65,90
r0c1de5e1t.jpg,85,50
r0f4ece9bt.jpg,100,80
r11d981d2t.jpg,85,50
r0905697bt.jpg,60,95
r09851aa4t.jpg,65,80
r070a874ct.jpg,95,80
r077507cat.jpg,75,55
r0773471dt.jpg,70,65
r08307e1at.jpg,50,95
r141665bdt.jpg,95,100
r1aa63558t.jpg,65,85
r1b106abdt.jpg,50,90
r1cfc8ddat.jpg,80,70
r12c64de9t.jpg,80,90
r14c67ed2t.jpg,85,90
r1f2f31e2t.jpg,95,70
r0a966704t.jpg,75,80
r0b59fc2bt.jpg,60,70
r0b3220e1t.jpg,95,95
r083b7636t.jpg,60,55
r1f1178cet.jpg,70,60
r09488b39t.jpg,100,85
r10f888c2t.jpg,95,60
r094cf3c6t.jpg,55,90
r0a5d7cb6t.jpg,95,55
r16698b6et.jpg,95,50
r0a71c689t.jpg,70,75
r1d99d1f3t.jpg,80,50
r0c1f588dt.jpg,100,85
r01ef1b4at.jpg,75,60
r1e52a39dt.jpg,55,65
r1554cfadt.jpg,50,95
r108301e3t.jpg,85,85
r0b985828t.jpg,55,70
r1a9de6e9t.jpg,75,85
r0ab0a205t.jpg,95,95
r1cc0e4e1t.jpg,50,75
r07598392t.jpg,100,75
r1dbe1b11t.jpg,90,80
r1c9fc42at.jpg,75,90
r02210c2at.jpg,90,55
r081ad6a3t.jpg,75,90
r1f11809bt.jpg,100,100
r1d4377f7t.jpg,85,90
r101e18b6t.jpg,55,70
r0f8a1531t.jpg,55,65
r10893508t.jpg,50,90
r01d9da09t.jpg,75,60
r15028ceft.jpg,75,70
r142787e2t.jpg,75,50
r072421a1t.jpg,85,90
r033bb79dt.jpg,60,95
r154d7294t.jpg,70,65
r0a3c52a0t.jpg,95,95
r006b0e4bt.jpg,60,50
r1a4651edt.jpg,100,75
r0a42c0f6t.jpg,80,80
r179bb406t.jpg,55,95
r11b292cbt.jpg,70,85
r0a4ce555t.jpg,80,80
r1889220ft.jpg,70,95
r09a79474t.jpg,100,90
r11a7deb7t.jpg,65,90
r085a5f53t.jpg,55,55
r1866b73at.jpg,60,90
r1aa43470t.jpg,65,90
r1267fa5bt.jpg,70,70
r1c5a4928t.jpg,85,95
r12946364t.jpg,85,65
r08f2d4c6t.jpg,60,65
r169f694ft.jpg,100,80
r1810ba7at.jpg,75,55
r17b873bct.jpg,70,95
r198ea6a5t.jpg,75,90
r0e63ca9ft.jpg,80,95
r0e04cc91t.jpg,85,70
r0288b58ct.jpg,55,80
r075baf3ct.jpg,60,90
r1148801et.jpg,95,85
r195f12adt.jpg,75,80
r170632f5t.jpg,65,75
r07e594d6t.jpg,70,75
r170df29ct.jpg,50,55
r1d1d501et.jpg,90,100
r1bcfab73t.jpg,95,70
r1a8d7a86t.jpg,50,55
r145215fft.jpg,80,70
r09670876t.jpg,60,70
r08d2b4dat.jpg,90,50
r14556dabt.jpg,75,80
r1a8fe570t.jpg,60,55
r010cb248t.jpg,80,100
r0a779af2t.jpg,80,100
r019eb1cbt.jpg,80,75
r1cde4afbt.jpg,65,85
r00816405t.jpg,80,55
r1f2c2acft.jpg,75,70
r1b4e82c4t.jpg,95,80
r0e9b0485t.jpg,100,100
r102b4aa4t.jpg,80,55
r15eef8b9t.jpg,55,90
r065a0da9t.jpg,60,90
r02a21f6ct.jpg,90,100
r1661f358t.jpg,95,80
r07ffdc87t.jpg,50,95
r1a877849t.jpg,75,95
r0670f47ft.jpg,85,90
r07f99a1at.jpg,85,70
r0e35d1fct.jpg,60,70
r16654024t.jpg,50,55
r1372056ct.jpg,75,75
r1126b615t.jpg,100,85
r1f5c8451t.jpg,50,70
r1ced1907t.jpg,95,50
r186c09e4t.jpg,55,90
r00de2590t.jpg,90,65
r14a9a843t.jpg,80,95
r0bbbb097t.jpg,80,60
r17492cd5t.jpg,90,85
r1bd70210t.jpg,90,95
r039a5ef5t.jpg,95,70
r06691aa5t.jpg,65,80
r04e19833t.jpg,55,85
r0249f733t.jpg,70,50
r12a7e9b5t.jpg,75,90
r0a31a2cct.jpg,60,95
r1567e512t.jpg,55,50
r0bdc7894t.jpg,85,50
r18302db2t.jpg,90,80
r0e5dfc8et.jpg,95,100
r08b41f18t.jpg,55,80
r12133015t.jpg,95,60
r162b2209t.jpg,70,50
r0833f646t.jpg,75,100
r17b2f789t.jpg,75,90
r1e9c8a5dt.jpg,90,65
r0dd6e8f4t.jpg,95,95
r0f25b326t.jpg,85,75
r0417f5e3t.jpg,70,50
r0b1f92a9t.jpg,50,60
r00869422t.jpg,50,100
r1d2bb70at.jpg,95,95
r0af5a8cct.jpg,100,90
r101eab0dt.jpg,95,95
r0282ca06t.jpg,95,60
r05d35656t.jpg,50,60
r155fe1fat.jpg,60,55
r1328ee94t.jpg,65,90
r1d1445b6t.jpg,95,85
r1f1a3258t.jpg,85,70
r1e79c6f9t.jpg,80,55
r0a72568ct.jpg,55,80
r1e251abet.jpg,75,60
r1070b804t.jpg,50,90
r00d161b7t.jpg,95,70
r0c486c0at.jpg,95,55
r0fa22d02t.jpg,95,80
r10134c59t.jpg,85,100
r09696ba3t.jpg,55,95
r1bf7ff83t.jpg,75,65
r128cc6fbt.jpg,75,50
r18ce12dct.jpg,95,75
r0342f22ct.jpg,80,55
r0777fea4t.jpg,75,60
r1a1d7e72t.jpg,75,65
r08b04f65t.jpg,90,75
r19be5c05t.jpg,65,50
r0bf1bbect.jpg,80,55
r16509308t.jpg,90,75
r0281b52at.jpg,90,65
r1a0f5585t.jpg,65,55
r0b841e5at.jpg,50,90
r1bc92a89t.jpg,100,55
r116fa8b7t.jpg,85,85
r008a2095t.jpg,70,55
r01c95f68t.jpg,85,65
r0279b17bt.jpg,60,85
r164c1e13t.jpg,90,95
r1e5c27c1t.jpg,65,90
r046852c1t.jpg,90,70
r0b735401t.jpg,90,95
r066358d3t.jpg,80,55
r1800ab47t.jpg,95,75
r1a485a99t.jpg,75,90
r1293f8ect.jpg,80,100
r09ff1dcet.jpg,60,55
r1378de81t.jpg,100,50
r043951a3t.jpg,85,100
r108ae9b6t.jpg,85,90
r1af60295t.jpg,65,55
r06d3ac60t.jpg,95,65
r188eb234t.jpg,70,85
r04b4d5aft.jpg,80,90
r0eea5a7et.jpg,70,55
r1f20d8b5t.jpg,60,95
r0408fe9ft.jpg,55,60
r06743f8ft.jpg,65,85
r079d086et.jpg,95,70
r10e36316t.jpg,60,80
r07cf907dt.jpg,50,100
r15ab6ac6t.jpg,90,65
r07cfb432t.jpg,80,50
r1b17f0f0t.jpg,75,85
r068812d7t.jpg,70,80
r02e1abe2t.jpg,90,70
r09a992e9t.jpg,60,75
r13493fa3t.jpg,75,55
r0edb165ft.jpg,60,80
r101d6690t.jpg,85,80
r0ab86ea2t.jpg,90,50
r1f1a9df4t.jpg,65,80
r14df59fet.jpg,65,75
r1d79b6e7t.jpg,70,70
r007f5116t.jpg,55,60
r0e7b407bt.jpg,95,80
r04c566a0t.jpg,60,95
r02b7536at.jpg,100,85
r00c0995ft.jpg,90,85
r15f07f9dt.jpg,75,85
r0108c383t.jpg,65,95
r0dff226et.jpg,95,90
r11bf0779t.jpg,55,50
r1c1fef8ft.jpg,100,80
r0383e9c3t.jpg,85,60
r15199ae3t.jpg,100,55
r1dbef145t.jpg,80,100
r152d9ff5t.jpg,50,60
r179ec4e8t.jpg,80,90
r0e661e0dt.jpg,80,85
r07d13149t.jpg,75,70
r1e504ebbt.jpg,75,85
r0965e155t.jpg,60,70
r0744a10et.jpg,90,85
r0d56c1d7t.jpg,65,75
r092b4511t.jpg,55,65
r1e7987b3t.jpg,90,80
r1138e1aft.jpg,95,55
r03ed2669t.jpg,95,85
r1a07dd25t.jpg,95,70
r0f22c43ct.jpg,75,95
r1a711e27t.jpg,50,60
r00a940e1t.jpg,55,65
r1ee6f90et.jpg,80,65
r12cebbd2t.jpg,50,70
